Title,redump_name,serial,MCPFile,EMUFile,PSPSerial,Language,Developer,Genre,Publisher,Release_Date,Region,uuid,Filename
3D-Kaleidoscope: Baby Universe,3D-Kaleidoscope - Baby Universe (Japan),SCPS-18006,SCPS-18006-1.mcd,SCPS-18006_1.mcd,SCPS18006,English,3D Kaleidoscope,Music / Simulation.,Sony,6/20/1997,NTSC-J,1997-04-10-17-26-49-00,
3x3 Eyes: Kyuusei Koushu (Disc 1),3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1),SLPS-00071,SLPS-00071-1.mcd,SLPS-00071_1.mcd,SLPS00071,Japanese,Nihon Create,Adventure,Xing Entertainment,7/28/1995,NTSC-J,1995-04-07-19-35-54-00,
3x3 Eyes: Kyuusei Koushu (Disc 2),3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2),SLPS-00072,SLPS-00072-1.mcd,SLPS-00072_1.mcd,SLPS00072,Japanese,Nihon Create,Adventure,Xing Entertainment,7/28/1995,NTSC-J,1995-04-07-19-35-54-00,
3x3 Eyes: Tenrin'ou Genmu (Disc 1),3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1),SLPS-01497,SLPS-01497-1.mcd,SLPS-01497_1.mcd,SLPS01497,Japanese,Nihon Create,Adventure,King Records,8/6/1998,NTSC-J,1998-06-16-04-00-00-00,
3x3 Eyes: Tenrin'ou Genmu (Disc 2),3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2),SLPS-01498,SLPS-01498-1.mcd,SLPS-01498_1.mcd,SLPS01498,Japanese,Nihon Create,Adventure,King Records,8/6/1998,NTSC-J,1998-06-16-04-00-00-00,
3x3 Eyes: Tenrin'ou Genmu (Disc 3),3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3),SLPS-01499,SLPS-01499-1.mcd,SLPS-01499_1.mcd,SLPS01499,Japanese,Nihon Create,Adventure,King Records,8/6/1998,NTSC-J,1998-06-16-04-00-00-00,
3Xtreme,3Xtreme (USA),SCUS-94231,SCUS-94231-1.mcd,SCUS-94231_1.mcd,SCUS94231,English,989 Sports,Sports / Racing,989 Sports,3/31/1999,NTSC-U,1999-03-29-02-44-33-00,
3Xtreme (Demo),3Xtreme (USA) (Demo),SCUS-94365,SCUS-94365-1.mcd,SCUS-94365_1.mcd,SCUS94365,English,N/A,N/A,N/A,N/A,NTSC-U,1999-04-02-22-44-33-00,
40 Winks,40 Winks (Europe),SLES-01937,SLES-01937-1.mcd,SLES-01937_1.mcd,SLES01937,English,Eurocom Ent,Platformer,GT Interactive,11/12/1999,PAL,1999-10-15-00-00-00-00,
40 Winks (Demo),40 Winks (Europe) (Demo),SLED-02435,SLED-02435-1.mcd,SLED-02435_1.mcd,SLED02435,English,N/A,N/A,N/A,N/A,PAL,1999-11-11-14-37-32-00,
40 Winks,40 Winks (Italy),SLES-01940,SLES-01940-1.mcd,SLES-01940_1.mcd,SLES01940,Italian,Eurocom Ent,Platformer,GT Interactive,11/12/1999,PAL,1999-10-14-00-00-00-00,
40 Winks,40 Winks (Spain),SLES-01941,SLES-01941-1.mcd,SLES-01941_1.mcd,SLES01941,Spanish,Eurocom Ent,Platformer,GT Interactive,11/12/1999,PAL,1999-10-14-00-00-00-00,
40 Winks,40 Winks (USA),SLUS-00874,SLUS-00874-1.mcd,SLUS-00874_1.mcd,SLUS00874,English,Eurocom Ent,Platformer,GT Interactive,11/14/1999,NTSC-U,1999-09-28-14-30-00-00,
4-4-2 Soccer,"4-4-2 Soccer (Europe) (En,Fr,De,Es)",SLES-00095,SLES-00095-1.mcd,SLES-00095_1.mcd,SLES00095,English / French / German / Spanish,Arc Developments,Soccer,Virgin Interactive,8/1/1997,PAL,1997-05-13-16-33-56-00,
4x4 World Trophy,"4x4 World Trophy (Europe) (En,Fr,De,Es,It)",SLES-02017,SLES-02017-1.mcd,SLES-02017_1.mcd,SLES02017,English / French / German / Italian / Spanish,Accolade,Driving / Racing,Infogrames,4/19/2000,PAL,0000-03-29-13-00-00-00,
5 Star Racing,5 Star Racing (Europe),SLES-04064,SLES-04064-1.mcd,SLES-04064_1.mcd,SLES04064,English,SG Difusion / Kung Fu,Driving / Racing,Phoenix Games,11/15/2003,PAL,2003-03-18-13-43-45-00,
70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 1),70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1),SLPS-01995,SLPS-01995-1.mcd,SLPS-01995_1.mcd,SLPS01995,Japanese,Aroma,Action / Shooter,Aroma,5/27/1999,NTSC-J,1999-04-14-00-00-00-00,
70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 2),70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2),SLPS-01996,SLPS-01996-1.mcd,SLPS-01996_1.mcd,SLPS01996,Japanese,Aroma,Action / Shooter,Aroma,5/27/1999,NTSC-J,1999-04-14-00-00-00-00,
70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 3),70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3),SLPS-01997,SLPS-01997-1.mcd,SLPS-01997_1.mcd,SLPS01997,Japanese,Aroma,Action / Shooter,Aroma,5/27/1999,NTSC-J,1999-04-14-00-00-00-00,
70's Robot Anime: Geppy-X: The Super Boosted Armor (Disc 4),70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),SLPS-01998,SLPS-01998-1.mcd,SLPS-01998_1.mcd,SLPS01998,Japanese,Aroma,Action / Shooter,Aroma,5/27/1999,NTSC-J,1999-04-14-00-00-00-00,
70's Robot Anime: Geppy-X,70's Robot Anime - Geppy-X (Japan) (Demo),SLPM-80387,SLPM-80387-1.mcd,SLPM-80387_1.mcd,SLPM80387,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-01-23-00-00-00-00,
'98 Koushien: Koukou Yakyuu Simulation,'98 Koushien - Koukou Yakyuu Simulation (Japan),SLPS-01204,SLPS-01204-1.mcd,SLPS-01204_1.mcd,SLPS01204,Japanese,Magical Company,Baseball / Strategy,Magical Company,6/18/1998,NTSC-J,1998-05-11-18-05-44-00,
'98 Koushien,'98 Koushien (Japan) (Demo),SLPM-80238,SLPM-80238-1.mcd,SLPM-80238_1.mcd,SLPM80238,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1998-04-16-03-08-30-00,
'99 Koushien,'99 Koushien (Japan),SLPS-02110,SLPS-02110-1.mcd,SLPS-02110_1.mcd,SLPS02110,Japanese,Magical Company,Baseball / Strategy,Magical Company,6/17/1999,NTSC-J,1999-05-03-11-41-04-00,
'99 Koushien,'99 Koushien (Japan) (Demo),SLPM-80421,SLPM-80421-1.mcd,SLPM-80421_1.mcd,SLPM80421,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-03-12-13-02-07-00,
A Ressha de Ikou 4: Evolution,A Ressha de Ikou 4 - Evolution (Japan),SLPS-00004,SLPS-00004-1.mcd,SLPS-00004_1.mcd,SLPS00004,Japanese,Artdink,Strategy / Simulation,Artdink,12/3/1994,NTSC-J,1994-11-02-18-59-47-00,
A Ressha de Ikou 4: Evolution,A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),SLPS-00004,SLPS-00004-1.mcd,SLPS-00004_1.mcd,SLPS00004,Japanese,Artdink,Strategy / Simulation,Artdink,12/3/1994,NTSC-J,1994-11-02-18-59-47-00,
A Ressha de Ikou 4: Evolution (Gentei Set),A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),SLPS-00011,SLPS-00011-1.mcd,SLPS-00011_1.mcd,SLPS00011,Japanese,Artdink,Strategy / Simulation,Artdink,12/3/1994,NTSC-J,1994-11-02-20-02-06-00,
A Ressha de Ikou 4: Evolution Global,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",SLPS-00125,SLPS-00125-1.mcd,SLPS-00125_1.mcd,SLPS00125,English / French / German / Japanese,Artdink,Strategy / Simulation,Artdink,11/22/1995,NTSC-J,1995-10-13-01-45-00-00,
A Ressha de Ikou 4: Evolution Global,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",SLPS-91019,SLPS-91019-1.mcd,SLPS-91019_1.mcd,SLPS91019,English / French / German / Japanese,Artdink,Strategy / Simulation,Artdink,3/28/1997,NTSC-J,1997-02-05-13-50-00-00,
A Ressha de Ikou Z: Mezase! Tairiku Oudan,A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),SLPS-02050,SLPS-02050-1.mcd,SLPS-02050_1.mcd,SLPS02050,Japanese,Artdink,Strategy / Constructing,Artdink,5/4/1999,NTSC-J,1999-02-13-18-00-00-00,
A Sangre Fria (Disc 1),A Sangre Fria (Spain) (Disc 1),SCES-02153,SCES-02153-1.mcd,SCES-02153_1.mcd,SCES02153,Spanish,Revolution Software,Action / Adventure / Shooter,Sony,7/14/2000,PAL,0000-06-14-19-08-20-00,
A Sangre Fria (Disc 2),A Sangre Fria (Spain) (Disc 2),SCES-12153,SCES-12153-1.mcd,SCES-12153_1.mcd,SCES12153,Spanish,Revolution Software,Action / Adventure / Shooter,Sony,7/14/2000,PAL,0000-06-14-19-08-38-00,
A Sangue Freddo (Disc 1),A Sangue Freddo (Italy) (Disc 1),SCES-02152,SCES-02152-1.mcd,SCES-02152_1.mcd,SCES02152,Italian,Revolution Software,Action / Adventure / Shooter,Sony,7/14/2000,PAL,0000-06-16-09-02-42-00,
A Sangue Freddo (Disc 2),A Sangue Freddo (Italy) (Disc 2),SCES-12152,SCES-12152-1.mcd,SCES-12152_1.mcd,SCES12152,Italian,Revolution Software,Action / Adventure / Shooter,Sony,7/14/2000,PAL,0000-06-16-09-02-55-00,
A.IV: Evolution Global,"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",SCES-00290,SCES-00290-1.mcd,SCES-00290_1.mcd,SCES00290,English / French / German / Japanese,Artdink,Strategy / Simulation,Sony Computer Entertaiment Europe,6/5/1996,PAL,1996-09-24-15-20-00-00,
A2 Racer: Europa Tour,A2 Racer - Europa Tour (Netherlands),SLES-02695,SLES-02695-1.mcd,SLES-02695_1.mcd,SLES02695,Dutch,Davilex,Driving / Racing,Davilex,9/29/2000,PAL,0000-05-18-17-13-43-00,
A5: A Ressha de Ikou 5,"A5 - A Ressha de Ikou 5 (Japan, Asia)",SLPS-01120,SLPS-01120-1.mcd,SLPS-01120_1.mcd,SLPS01120,Japanese,Artdink,Strategy / Simulation,Artdink,12/4/1997,NTSC-J,1997-08-01-15-00-00-00,
AbalaBurn,AbalaBurn (Japan),SLPS-01280,SLPS-01280-1.mcd,SLPS-01280_1.mcd,SLPS01280,Japanese,Tamsoft,Fighting / Action / RPG,Takara,8/20/1998,NTSC-J,1998-07-15-03-00-00-00,
Abe '99 (Disc 1),Abe '99 (Japan) (Disc 1),SLPS-02095,SLPS-02095-1.mcd,SLPS-02095_1.mcd,SLPS02095,Japanese,Oddworld Inhabitants,Adventure / Platformer,Riverhill Soft,8/26/1999,NTSC-J,1999-07-21-12-00-00-00,
Abe '99 (Disc 2),Abe '99 (Japan) (Disc 2),SLPS-02096,SLPS-02096-1.mcd,SLPS-02096_1.mcd,SLPS02096,Japanese,Oddworld Inhabitants,Adventure / Platformer,Riverhill Soft,8/26/1999,NTSC-J,1999-07-21-12-00-00-00,
Abe a GoGo,Abe a GoGo (Japan),SLPS-01118,SLPS-01118-1.mcd,SLPS-01118_1.mcd,SLPS01118,Japanese,Oddworld Inhabitants,Platformer / Adventure,Gamebank,12/11/1997,NTSC-J,1997-10-26-23-30-00-00,
Abe a GoGo,Abe a GoGo (Japan) (Demo),SLPM-80175,SLPM-80175-1.mcd,SLPM-80175_1.mcd,SLPM80175,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1997-10-20-12-00-00-00,
Absolute Football,"Absolute Football (France) (En,Fr,De,Es,It,Pt)",SLES-01341,SLES-01341-1.mcd,SLES-01341_1.mcd,SLES01341,English / French / German / Italian / Portuguese / Spanish,Crimson,Soccer,Virgin Interactive,3/15/1999,PAL,1999-03-01-18-06-24-00,
